Designator,,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation
R22,,30.988mm,25.019mm,30.988mm,25.019mm,30.988mm,24.569mm,T,90
U6,,32.512mm,22.225mm,32.512mm,22.225mm,30.337mm,23.2mm,T,360
C20,,11.303mm,13.716mm,11.303mm,13.716mm,11.703mm,13.716mm,T,180
D9,,28.956mm,16.51mm,28.956mm,16.51mm,28.956mm,18.76mm,B,270
C1,,14.859mm,22.625mm,14.859mm,22.625mm,14.859mm,23.025mm,B,270
R20A,,7.4079mm,32.004mm,8.5854mm,32.004mm,9.4754mm,34.484mm,B,270
R13,,4.318mm,11.684mm,4.318mm,11.684mm,3.868mm,11.684mm,B,360
R14,,5.842mm,17.526mm,5.842mm,17.526mm,5.842mm,17.076mm,B,90
R15,,2.794mm,11.684mm,2.794mm,11.684mm,2.344mm,11.684mm,B,360
Q5,,25.0266mm,16.5782mm,25.019mm,16.637mm,24.069mm,17.637mm,B,360
R32,,16.002mm,1.397mm,16.002mm,1.397mm,16.002mm,1.847mm,B,270
C34,,10.922mm,4.826mm,10.922mm,4.826mm,10.922mm,4.426mm,B,90
L3,,11.684mm,6.35mm,11.684mm,6.35mm,10.734mm,6.35mm,B,360
